iter	Passed	Remaining
0	140	140382
1	141	70725
2	142	47329
3	143	35661
4	143	28641
5	144	23938
6	145	20683
7	147	18269
8	148	16303
9	148	14732
10	149	13451
11	150	12374
12	151	11470
13	151	10701
14	152	10039
15	153	9441
16	154	8914
17	154	8447
18	155	8031
19	156	7658
20	157	7329
21	158	7030
22	158	6753
23	159	6498
24	160	6264
25	161	6046
26	162	5843
27	162	5657
28	163	5485
29	164	5321
30	165	5170
31	166	5027
32	167	4894
33	167	4764
34	168	4641
35	169	4527
36	169	4420
37	170	4319
38	171	4225
39	172	4133
40	172	4044
41	173	3964
42	174	3885
43	175	3809
44	176	3737
45	178	3710
46	179	3641
47	180	3574
48	180	3511
49	181	3453
50	182	3396
51	183	3344
52	184	3290
53	184	3237
54	185	3185
55	185	3135
56	186	3086
57	187	3038
58	187	2994
59	188	2951
60	189	2913
61	189	2872
62	190	2833
63	191	2793
64	191	2755
65	192	2720
66	192	2686
67	193	2652
68	194	2620
69	194	2588
70	195	2557
71	195	2525
72	196	2495
73	197	2465
74	197	2437
75	198	2409
76	198	2382
77	199	2355
78	199	2329
79	200	2305
80	201	2282
81	202	2267
82	202	2242
83	203	2221
84	204	2199
85	204	2177
86	205	2156
87	206	2135
88	207	2121
89	207	2101
90	208	2084
91	209	2065
92	209	2047
93	210	2028
94	211	2011
95	211	1993
96	212	1976
97	213	1964
98	214	1951
99	215	1936
100	215	1920
101	216	1904
102	216	1889
103	217	1873
104	218	1858
105	218	1844
106	219	1832
107	220	1818
108	220	1804
109	221	1791
110	221	1777
111	222	1764
112	223	1751
113	223	1738
114	224	1726
115	224	1713
116	225	1700
117	225	1688
118	226	1676
119	226	1664
120	227	1652
121	227	1640
122	228	1628
123	228	1617
124	229	1606
125	230	1595
126	230	1584
127	230	1573
128	231	1563
129	232	1554
130	232	1544
131	233	1534
132	233	1524
133	234	1514
134	234	1505
135	235	1496
136	236	1487
137	236	1477
138	237	1468
139	237	1460
140	238	1453
141	238	1443
142	239	1435
143	240	1427
144	240	1418
145	241	1410
146	241	1402
147	242	1395
148	242	1387
149	243	1379
150	244	1372
151	244	1365
152	245	1358
153	246	1351
154	246	1344
155	247	1337
156	247	1330
157	248	1324
158	249	1317
159	249	1310
160	250	1302
161	250	1296
162	251	1290
163	251	1284
164	252	1277
165	253	1271
166	253	1265
167	254	1259
168	254	1253
169	255	1247
170	256	1242
171	256	1236
172	257	1230
173	258	1224
174	258	1218
175	259	1212
176	259	1207
177	260	1201
178	260	1195
179	261	1189
180	261	1184
181	262	1178
182	265	1186
183	266	1182
184	267	1177
185	267	1171
186	268	1166
187	268	1161
188	269	1157
189	270	1152
190	270	1147
191	271	1142
192	271	1137
193	272	1132
194	273	1127
195	273	1122
196	274	1117
197	274	1112
198	275	1107
199	275	1103
200	276	1098
